Complaint_ID,Complaint_Date,Resolved_Date,Zone,Category,Department,Priority,Priority_Score,Status,Resolution_Delay_Days,Citizen_Satisfaction_Score,Month,Quarter,Week
CMP00461,2024-03-31,2024-04-10,South Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,10.0,2.8,March,Q1,13
CMP00462,2024-07-30,,North Zone,Road Damage,Public Works Dept,Low,1,In Progress,,2.0,July,Q3,31
CMP00463,2024-01-13,2024-01-20,Industrial Zone,Road Damage,Public Works Dept,High,3,Resolved,7.0,3.4,January,Q1,2
CMP00464,2024-04-01,,Central Zone,Road Damage,Public Works Dept,High,3,In Progress,,1.5,April,Q2,14
CMP00465,2024-06-19,,West Zone,Road Damage,Public Works Dept,Low,1,In Progress,,2.5,June,Q2,25
CMP00466,2024-07-29,2024-08-03,East Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,5.0,3.8,July,Q3,31
CMP00467,2024-12-08,2024-12-12,South Zone,Public Safety,Police Dept,Medium,2,Resolved,4.0,4.1,December,Q4,49
CMP00468,2024-05-07,2024-05-11,North-East Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,4.0,3.4,May,Q2,19
CMP00469,2024-05-16,,North-East Zone,Public Safety,Police Dept,High,3,Pending,,1.8,May,Q2,20
CMP00470,2024-03-22,2024-03-25,Industrial Zone,Garbage Collection,Sanitation Dept,High,3,Resolved,3.0,4.2,March,Q1,12
CMP00471,2024-12-25,2025-01-02,South Zone,Road Damage,Public Works Dept,Medium,2,Resolved,8.0,1.9,December,Q4,52
CMP00472,2024-02-25,2024-02-29,West Zone,Street Light Failure,Electricity Dept,High,3,Resolved,4.0,3.4,February,Q1,8
CMP00473,2024-07-14,2024-07-24,Industrial Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,10.0,3.3,July,Q3,28
CMP00474,2024-01-20,2024-01-26,Central Zone,Road Damage,Public Works Dept,High,3,Resolved,6.0,3.8,January,Q1,3
CMP00475,2024-08-28,2024-09-13,North Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,16.0,2.8,August,Q3,35
CMP00476,2024-04-23,2024-05-06,North Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,13.0,2.5,April,Q2,17
CMP00477,2024-04-12,2024-05-02,Industrial Zone,Water Supply,Water Supply Dept,Low,1,Resolved,20.0,2.4,April,Q2,15
CMP00478,2024-08-23,2024-08-26,South-West Zone,Road Damage,Public Works Dept,High,3,Resolved,3.0,4.3,August,Q3,34
CMP00479,2024-06-28,2024-07-06,Industrial Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,8.0,2.6,June,Q2,26
CMP00480,2024-06-05,,Industrial Zone,Traffic Congestion,Traffic Management Dept,Medium,2,In Progress,,2.0,June,Q2,23
CMP00481,2024-04-26,2024-05-15,South Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,19.0,3.3,April,Q2,17
CMP00482,2024-04-24,,Industrial Zone,Water Supply,Water Supply Dept,Medium,2,In Progress,,1.5,April,Q2,17
CMP00483,2024-01-13,2024-01-14,Central Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,1.0,4.1,January,Q1,2
CMP00484,2024-12-03,,Central Zone,Public Safety,Police Dept,Medium,2,In Progress,,1.5,December,Q4,49
CMP00485,2024-04-08,2024-04-15,North-East Zone,Public Safety,Police Dept,High,3,Resolved,7.0,4.4,April,Q2,15
CMP00486,2024-07-23,2024-08-08,East Zone,Drainage Problem,Drainage Dept,Low,1,Resolved,16.0,1.8,July,Q3,30
CMP00487,2024-06-17,2024-06-24,Industrial Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,7.0,3.7,June,Q2,25
CMP00488,2024-05-22,2024-06-06,Industrial Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,15.0,2.2,May,Q2,21
CMP00489,2024-02-05,2024-02-16,South-West Zone,Public Safety,Police Dept,Medium,2,Resolved,11.0,3.3,February,Q1,6
CMP00490,2024-05-22,2024-06-11,Industrial Zone,Road Damage,Public Works Dept,Low,1,Resolved,20.0,1.9,May,Q2,21
CMP00491,2024-06-28,2024-07-06,North-East Zone,Water Supply,Water Supply Dept,Low,1,Resolved,8.0,2.2,June,Q2,26
CMP00492,2024-11-24,,South-West Zone,Public Safety,Police Dept,High,3,In Progress,,1.2,November,Q4,47
CMP00493,2024-09-17,2024-09-20,North-East Zone,Street Light Failure,Electricity Dept,High,3,Resolved,3.0,4.5,September,Q3,38
CMP00494,2024-07-23,,Industrial Zone,Street Light Failure,Electricity Dept,Medium,2,Pending,,2.1,July,Q3,30
CMP00495,2024-12-13,2024-12-19,East Zone,Public Safety,Police Dept,High,3,Resolved,6.0,3.7,December,Q4,50
CMP00496,2024-10-01,2024-10-06,North Zone,Road Damage,Public Works Dept,Low,1,Resolved,5.0,3.9,October,Q4,40
CMP00497,2024-06-18,,West Zone,Traffic Congestion,Traffic Management Dept,Low,1,In Progress,,1.9,June,Q2,25
CMP00498,2024-01-15,2024-01-20,North Zone,Public Safety,Police Dept,Medium,2,Resolved,5.0,4.0,January,Q1,3
CMP00499,2024-02-29,2024-03-09,North-East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,9.0,3.0,February,Q1,9
CMP00500,2024-05-13,2024-05-20,North Zone,Drainage Problem,Drainage Dept,High,3,Resolved,7.0,3.7,May,Q2,20
CMP00501,2024-04-01,2024-04-13,North Zone,Drainage Problem,Drainage Dept,Low,1,Resolved,12.0,2.0,April,Q2,14
CMP00502,2024-10-24,2024-10-29,Central Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,5.0,4.1,October,Q4,43
CMP00503,2024-05-15,2024-05-18,South Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,3.0,4.6,May,Q2,20
CMP00504,2024-01-20,2024-02-09,East Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,20.0,2.5,January,Q1,3
CMP00505,2024-02-25,2024-02-26,East Zone,Drainage Problem,Drainage Dept,High,3,Resolved,1.0,4.4,February,Q1,8
CMP00506,2024-11-01,2024-11-13,Central Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,12.0,1.6,November,Q4,44
CMP00507,2024-08-10,2024-08-28,South Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,18.0,3.4,August,Q3,32
CMP00508,2024-06-25,,Central Zone,Road Damage,Public Works Dept,Low,1,Pending,,1.4,June,Q2,26
CMP00509,2024-06-09,2024-06-17,South-West Zone,Public Safety,Police Dept,Medium,2,Resolved,8.0,3.4,June,Q2,23
CMP00510,2024-08-11,,South-West Zone,Garbage Collection,Sanitation Dept,Medium,2,In Progress,,2.4,August,Q3,32
CMP00511,2024-11-06,2024-11-08,South Zone,Drainage Problem,Drainage Dept,High,3,Resolved,2.0,4.1,November,Q4,45
CMP00512,2024-09-18,,North Zone,Public Safety,Police Dept,Medium,2,In Progress,,1.6,September,Q3,38
CMP00513,2024-02-29,,South-West Zone,Water Supply,Water Supply Dept,High,3,Pending,,1.4,February,Q1,9
CMP00514,2024-07-16,2024-07-22,North-East Zone,Street Light Failure,Electricity Dept,High,3,Resolved,6.0,3.9,July,Q3,29
CMP00515,2024-10-22,2024-10-29,Industrial Zone,Water Supply,Water Supply Dept,Low,1,Resolved,7.0,3.9,October,Q4,43
CMP00516,2024-04-07,2024-04-13,Industrial Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,6.0,3.2,April,Q2,14
CMP00517,2024-05-10,2024-05-27,West Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,17.0,1.8,May,Q2,19
CMP00518,2024-01-23,,West Zone,Traffic Congestion,Traffic Management Dept,High,3,Pending,,1.5,January,Q1,4
CMP00519,2024-12-28,2025-01-01,Central Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,4.0,3.9,December,Q4,52
CMP00520,2024-08-11,2024-08-24,Central Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,13.0,2.9,August,Q3,32
CMP00521,2024-01-01,,North Zone,Public Safety,Police Dept,Medium,2,In Progress,,1.8,January,Q1,1
CMP00522,2024-09-23,2024-10-04,North-East Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,11.0,3.4,September,Q3,39
CMP00523,2024-10-02,,West Zone,Garbage Collection,Sanitation Dept,Medium,2,In Progress,,1.9,October,Q4,40
CMP00524,2024-12-17,,North-East Zone,Garbage Collection,Sanitation Dept,Medium,2,In Progress,,1.2,December,Q4,51
CMP00525,2024-12-09,2024-12-19,West Zone,Road Damage,Public Works Dept,Medium,2,Resolved,10.0,2.8,December,Q4,50
CMP00526,2024-04-10,,West Zone,Street Light Failure,Electricity Dept,Medium,2,In Progress,,2.2,April,Q2,15
CMP00527,2024-07-05,2024-07-10,North Zone,Street Light Failure,Electricity Dept,High,3,Resolved,5.0,3.1,July,Q3,27
CMP00528,2024-08-08,,East Zone,Traffic Congestion,Traffic Management Dept,Low,1,Pending,,1.1,August,Q3,32
CMP00529,2024-02-05,,East Zone,Road Damage,Public Works Dept,Low,1,In Progress,,2.2,February,Q1,6
CMP00530,2024-12-06,,West Zone,Garbage Collection,Sanitation Dept,High,3,Pending,,1.2,December,Q4,49
CMP00531,2024-06-18,,Central Zone,Water Supply,Water Supply Dept,Low,1,Pending,,1.5,June,Q2,25
CMP00532,2024-11-15,2024-11-20,South Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,5.0,3.6,November,Q4,46
CMP00533,2024-06-09,,Industrial Zone,Water Supply,Water Supply Dept,High,3,Pending,,1.7,June,Q2,23
CMP00534,2024-12-05,2024-12-12,North-East Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,7.0,4.0,December,Q4,49
CMP00535,2024-03-04,2024-03-10,West Zone,Road Damage,Public Works Dept,High,3,Resolved,6.0,3.3,March,Q1,10
CMP00536,2024-06-02,2024-06-05,West Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,3.0,4.2,June,Q2,22
CMP00537,2024-09-16,2024-10-01,South Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,15.0,2.1,September,Q3,38
CMP00538,2024-06-07,2024-06-11,North-East Zone,Garbage Collection,Sanitation Dept,High,3,Resolved,4.0,3.3,June,Q2,23
CMP00539,2024-12-07,2024-12-19,Industrial Zone,Public Safety,Police Dept,Medium,2,Resolved,12.0,3.2,December,Q4,49
CMP00540,2024-07-28,2024-08-15,North-East Zone,Public Safety,Police Dept,Low,1,Resolved,18.0,2.4,July,Q3,30
CMP00541,2024-06-16,,West Zone,Street Light Failure,Electricity Dept,Medium,2,In Progress,,2.1,June,Q2,24
CMP00542,2024-07-25,2024-08-07,South-West Zone,Road Damage,Public Works Dept,Low,1,Resolved,13.0,1.8,July,Q3,30
CMP00543,2024-12-22,,Central Zone,Water Supply,Water Supply Dept,Low,1,Pending,,1.8,December,Q4,51
CMP00544,2024-05-31,2024-06-14,South Zone,Garbage Collection,Sanitation Dept,Low,1,Resolved,14.0,3.1,May,Q2,22
CMP00545,2024-10-10,,East Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Pending,,1.0,October,Q4,41
CMP00546,2024-03-06,2024-03-08,Industrial Zone,Drainage Problem,Drainage Dept,High,3,Resolved,2.0,4.2,March,Q1,10
CMP00547,2024-04-08,2024-04-11,Central Zone,Public Safety,Police Dept,Medium,2,Resolved,3.0,4.1,April,Q2,15
CMP00548,2024-08-03,,East Zone,Road Damage,Public Works Dept,Medium,2,In Progress,,1.8,August,Q3,31
CMP00549,2024-12-06,2024-12-18,Industrial Zone,Public Safety,Police Dept,Medium,2,Resolved,12.0,2.3,December,Q4,49
CMP00550,2024-07-13,2024-07-28,Central Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,15.0,1.9,July,Q3,28
CMP00551,2024-12-12,2024-12-24,West Zone,Public Safety,Police Dept,Medium,2,Resolved,12.0,2.4,December,Q4,50
CMP00552,2024-03-30,,North Zone,Road Damage,Public Works Dept,Medium,2,Pending,,1.6,March,Q1,13
CMP00553,2024-11-11,2024-11-15,North-East Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,4.0,3.7,November,Q4,46
CMP00554,2024-10-18,2024-10-27,East Zone,Public Safety,Police Dept,Medium,2,Resolved,9.0,2.0,October,Q4,42
CMP00555,2024-06-03,2024-06-13,South Zone,Public Safety,Police Dept,Medium,2,Resolved,10.0,3.3,June,Q2,23
CMP00556,2024-07-26,,West Zone,Garbage Collection,Sanitation Dept,Low,1,Pending,,1.6,July,Q3,30
CMP00557,2024-10-07,2024-10-23,Central Zone,Public Safety,Police Dept,Low,1,Resolved,16.0,2.1,October,Q4,41
CMP00558,2024-01-01,,Industrial Zone,Garbage Collection,Sanitation Dept,Medium,2,Pending,,2.4,January,Q1,1
CMP00559,2024-06-04,,South Zone,Public Safety,Police Dept,Low,1,In Progress,,1.6,June,Q2,23
CMP00560,2024-05-26,2024-06-02,South-West Zone,Road Damage,Public Works Dept,Medium,2,Resolved,7.0,3.5,May,Q2,21
CMP00561,2024-04-17,,East Zone,Garbage Collection,Sanitation Dept,High,3,In Progress,,1.4,April,Q2,16
CMP00562,2024-08-08,,West Zone,Public Safety,Police Dept,Low,1,In Progress,,2.0,August,Q3,32
CMP00563,2024-10-23,2024-10-31,South-West Zone,Drainage Problem,Drainage Dept,Low,1,Resolved,8.0,3.2,October,Q4,43
CMP00564,2024-11-06,2024-11-07,East Zone,Drainage Problem,Drainage Dept,High,3,Resolved,1.0,4.6,November,Q4,45
CMP00565,2024-12-01,,Central Zone,Public Safety,Police Dept,Medium,2,Pending,,1.8,December,Q4,48
CMP00566,2024-06-13,2024-06-23,West Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,10.0,2.2,June,Q2,24
CMP00567,2024-08-26,2024-09-01,North-East Zone,Drainage Problem,Drainage Dept,High,3,Resolved,6.0,4.0,August,Q3,35
CMP00568,2024-08-14,,South Zone,Road Damage,Public Works Dept,Medium,2,In Progress,,2.5,August,Q3,33
CMP00569,2024-08-14,2024-08-16,South-West Zone,Road Damage,Public Works Dept,High,3,Resolved,2.0,4.0,August,Q3,33
CMP00570,2024-12-11,,South Zone,Water Supply,Water Supply Dept,Medium,2,Pending,,2.3,December,Q4,50
CMP00571,2024-04-19,,East Zone,Street Light Failure,Electricity Dept,High,3,Pending,,1.3,April,Q2,16
CMP00572,2024-09-18,,North-East Zone,Water Supply,Water Supply Dept,High,3,In Progress,,1.4,September,Q3,38
CMP00573,2024-08-30,,North-East Zone,Water Supply,Water Supply Dept,Low,1,In Progress,,1.5,August,Q3,35
CMP00574,2024-03-27,2024-04-06,North Zone,Public Safety,Police Dept,Medium,2,Resolved,10.0,2.5,March,Q1,13
CMP00575,2024-12-03,2024-12-08,North-East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,5.0,3.0,December,Q4,49
CMP00576,2024-02-13,,East Zone,Garbage Collection,Sanitation Dept,Medium,2,Pending,,1.9,February,Q1,7
CMP00577,2024-05-25,,South Zone,Traffic Congestion,Traffic Management Dept,Low,1,Pending,,1.6,May,Q2,21
CMP00578,2024-09-20,2024-10-01,Industrial Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,11.0,1.7,September,Q3,38
CMP00579,2024-12-05,2024-12-19,North-East Zone,Public Safety,Police Dept,Low,1,Resolved,14.0,2.0,December,Q4,49
CMP00580,2024-11-20,,North Zone,Public Safety,Police Dept,Medium,2,Pending,,1.7,November,Q4,47
CMP00581,2024-11-13,,South-West Zone,Water Supply,Water Supply Dept,High,3,Pending,,1.1,November,Q4,46
CMP00582,2024-06-20,2024-07-02,West Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,12.0,2.1,June,Q2,25
CMP00583,2024-02-17,2024-02-28,Industrial Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,11.0,1.7,February,Q1,7
CMP00584,2024-04-30,2024-05-10,Central Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,10.0,2.3,April,Q2,18
CMP00585,2024-12-10,2024-12-17,East Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,7.0,3.3,December,Q4,50
CMP00586,2024-06-07,,West Zone,Public Safety,Police Dept,High,3,Pending,,1.2,June,Q2,23
CMP00587,2024-04-25,2024-05-05,West Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,10.0,2.1,April,Q2,17
CMP00588,2024-04-11,2024-04-25,East Zone,Garbage Collection,Sanitation Dept,Low,1,Resolved,14.0,2.9,April,Q2,15
CMP00589,2024-03-16,2024-03-20,North-East Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,4.0,3.7,March,Q1,11
CMP00590,2024-01-13,2024-01-27,Industrial Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,14.0,2.0,January,Q1,2
CMP00591,2024-01-24,2024-01-29,South-West Zone,Drainage Problem,Drainage Dept,Low,1,Resolved,5.0,4.4,January,Q1,4
CMP00592,2024-05-05,2024-05-15,East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,10.0,1.9,May,Q2,18
CMP00593,2024-08-31,2024-09-01,North-East Zone,Garbage Collection,Sanitation Dept,High,3,Resolved,1.0,4.4,August,Q3,35
CMP00594,2024-11-08,2024-11-14,North Zone,Public Safety,Police Dept,Medium,2,Resolved,6.0,3.8,November,Q4,45
CMP00595,2024-02-07,2024-02-10,East Zone,Water Supply,Water Supply Dept,High,3,Resolved,3.0,4.1,February,Q1,6
CMP00596,2024-08-21,2024-09-02,Central Zone,Public Safety,Police Dept,Medium,2,Resolved,12.0,3.1,August,Q3,34
CMP00597,2024-07-31,2024-08-08,South Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,8.0,2.2,July,Q3,31
CMP00598,2024-11-18,2024-11-19,West Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,1.0,4.7,November,Q4,47
CMP00599,2024-10-21,2024-10-31,North-East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,10.0,2.8,October,Q4,43
CMP00600,2024-04-09,,East Zone,Drainage Problem,Drainage Dept,High,3,Pending,,1.6,April,Q2,15
CMP00601,2024-12-22,,North Zone,Water Supply,Water Supply Dept,Medium,2,Pending,,2.2,December,Q4,51
CMP00602,2024-07-15,2024-07-18,East Zone,Public Safety,Police Dept,High,3,Resolved,3.0,4.2,July,Q3,29
CMP00603,2024-09-10,,North-East Zone,Public Safety,Police Dept,Low,1,In Progress,,1.2,September,Q3,37
CMP00604,2024-07-23,,Industrial Zone,Street Light Failure,Electricity Dept,Medium,2,In Progress,,1.8,July,Q3,30
CMP00605,2024-05-04,2024-05-05,North Zone,Road Damage,Public Works Dept,High,3,Resolved,1.0,4.7,May,Q2,18
CMP00606,2024-03-16,,East Zone,Water Supply,Water Supply Dept,Medium,2,In Progress,,1.0,March,Q1,11
CMP00607,2024-12-01,2024-12-19,North-East Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,18.0,2.8,December,Q4,48
CMP00608,2024-12-18,2024-12-21,North Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,3.0,4.7,December,Q4,51
CMP00609,2024-01-03,2024-01-06,South Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,3.0,4.4,January,Q1,1
CMP00610,2024-02-24,2024-02-27,North-East Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,3.0,4.1,February,Q1,8
CMP00611,2024-08-05,2024-08-12,South-West Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,7.0,3.6,August,Q3,32
CMP00612,2024-04-22,2024-04-24,Central Zone,Street Light Failure,Electricity Dept,High,3,Resolved,2.0,4.7,April,Q2,17
CMP00613,2024-03-31,2024-04-08,South Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,8.0,1.7,March,Q1,13
CMP00614,2024-12-22,2024-12-29,East Zone,Road Damage,Public Works Dept,Medium,2,Resolved,7.0,4.2,December,Q4,51
CMP00615,2024-09-22,2024-09-29,East Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,7.0,4.4,September,Q3,38
CMP00616,2024-08-25,,South-West Zone,Road Damage,Public Works Dept,Medium,2,Pending,,1.8,August,Q3,34
CMP00617,2024-01-26,2024-02-02,South-West Zone,Street Light Failure,Electricity Dept,High,3,Resolved,7.0,4.2,January,Q1,4
CMP00618,2024-10-12,2024-10-23,East Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Resolved,11.0,2.9,October,Q4,41
CMP00619,2024-05-07,,North-East Zone,Road Damage,Public Works Dept,High,3,In Progress,,2.3,May,Q2,19
CMP00620,2024-03-03,,East Zone,Road Damage,Public Works Dept,High,3,Pending,,2.5,March,Q1,9
CMP00621,2024-08-21,,Central Zone,Water Supply,Water Supply Dept,High,3,Pending,,1.2,August,Q3,34
CMP00622,2024-03-09,2024-03-20,East Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,11.0,1.9,March,Q1,10
CMP00623,2024-08-25,2024-08-30,South Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,5.0,3.6,August,Q3,34
CMP00624,2024-12-07,,South Zone,Water Supply,Water Supply Dept,Low,1,Pending,,2.1,December,Q4,49
CMP00625,2024-09-28,2024-09-29,East Zone,Public Safety,Police Dept,High,3,Resolved,1.0,4.9,September,Q3,39
CMP00626,2024-10-13,2024-10-19,South-West Zone,Water Supply,Water Supply Dept,High,3,Resolved,6.0,3.1,October,Q4,41
CMP00627,2024-10-31,,West Zone,Street Light Failure,Electricity Dept,Low,1,In Progress,,1.0,October,Q4,44
CMP00628,2024-06-11,2024-06-18,Industrial Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,7.0,4.4,June,Q2,24
CMP00629,2024-08-14,2024-08-19,South Zone,Road Damage,Public Works Dept,Medium,2,Resolved,5.0,4.1,August,Q3,33
CMP00630,2024-11-09,,South Zone,Road Damage,Public Works Dept,Low,1,Pending,,1.4,November,Q4,45
CMP00631,2024-09-15,2024-09-26,Central Zone,Street Light Failure,Electricity Dept,Low,1,Resolved,11.0,2.5,September,Q3,37
CMP00632,2024-08-06,2024-08-15,South-West Zone,Road Damage,Public Works Dept,Medium,2,Resolved,9.0,2.7,August,Q3,32
CMP00633,2024-10-07,,South-West Zone,Water Supply,Water Supply Dept,Low,1,Pending,,2.3,October,Q4,41
CMP00634,2024-08-16,2024-08-28,Central Zone,Road Damage,Public Works Dept,Medium,2,Resolved,12.0,2.4,August,Q3,33
CMP00635,2024-03-22,2024-03-26,North-East Zone,Garbage Collection,Sanitation Dept,Medium,2,Resolved,4.0,3.7,March,Q1,12
CMP00636,2024-08-31,2024-09-07,Industrial Zone,Street Light Failure,Electricity Dept,Medium,2,Resolved,7.0,3.1,August,Q3,35
CMP00637,2024-08-18,2024-08-30,South-West Zone,Road Damage,Public Works Dept,Low,1,Resolved,12.0,3.2,August,Q3,33
CMP00638,2024-05-12,2024-05-13,North-East Zone,Street Light Failure,Electricity Dept,High,3,Resolved,1.0,4.5,May,Q2,19
CMP00639,2024-05-06,2024-05-16,North-East Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,10.0,1.6,May,Q2,19
CMP00640,2024-11-22,,South-West Zone,Garbage Collection,Sanitation Dept,Low,1,In Progress,,1.9,November,Q4,47
CMP00641,2024-05-21,,West Zone,Road Damage,Public Works Dept,Medium,2,In Progress,,1.6,May,Q2,21
CMP00642,2024-09-23,,Industrial Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Pending,,1.6,September,Q3,39
CMP00643,2024-09-05,2024-09-21,North Zone,Garbage Collection,Sanitation Dept,Low,1,Resolved,16.0,2.8,September,Q3,36
CMP00644,2024-11-16,,South Zone,Garbage Collection,Sanitation Dept,Medium,2,In Progress,,2.2,November,Q4,46
CMP00645,2024-05-02,2024-05-08,North Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,6.0,3.0,May,Q2,18
CMP00646,2024-05-20,,East Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Pending,,1.4,May,Q2,21
CMP00647,2024-08-13,,North-East Zone,Traffic Congestion,Traffic Management Dept,High,3,In Progress,,1.4,August,Q3,33
CMP00648,2024-02-09,2024-02-18,South Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,9.0,2.3,February,Q1,6
CMP00649,2024-05-26,2024-06-13,West Zone,Water Supply,Water Supply Dept,Low,1,Resolved,18.0,2.4,May,Q2,21
CMP00650,2024-04-30,2024-05-09,Industrial Zone,Public Safety,Police Dept,Medium,2,Resolved,9.0,2.1,April,Q2,18
CMP00651,2024-05-19,,Central Zone,Road Damage,Public Works Dept,Medium,2,In Progress,,1.1,May,Q2,20
CMP00652,2024-06-20,,Industrial Zone,Public Safety,Police Dept,Low,1,Pending,,1.2,June,Q2,25
CMP00653,2024-06-12,2024-06-16,South Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,4.0,4.1,June,Q2,24
CMP00654,2024-10-03,2024-10-10,East Zone,Water Supply,Water Supply Dept,Medium,2,Resolved,7.0,3.8,October,Q4,40
CMP00655,2024-02-11,,North-East Zone,Drainage Problem,Drainage Dept,High,3,Pending,,1.6,February,Q1,6
CMP00656,2024-03-11,,North Zone,Drainage Problem,Drainage Dept,Medium,2,In Progress,,1.3,March,Q1,11
CMP00657,2024-03-18,2024-03-21,South Zone,Drainage Problem,Drainage Dept,High,3,Resolved,3.0,4.5,March,Q1,12
CMP00658,2024-04-28,,North-East Zone,Public Safety,Police Dept,Medium,2,Pending,,1.2,April,Q2,17
CMP00659,2024-07-15,2024-07-29,North-East Zone,Traffic Congestion,Traffic Management Dept,Low,1,Resolved,14.0,1.8,July,Q3,29
CMP00660,2024-12-21,2024-12-23,East Zone,Traffic Congestion,Traffic Management Dept,High,3,Resolved,2.0,4.5,December,Q4,51
CMP00661,2024-03-19,,South Zone,Road Damage,Public Works Dept,Low,1,In Progress,,2.3,March,Q1,12
CMP00662,2024-12-27,2025-01-14,Industrial Zone,Water Supply,Water Supply Dept,Low,1,Resolved,18.0,2.2,December,Q4,52
CMP00663,2024-04-19,2024-04-25,West Zone,Road Damage,Public Works Dept,High,3,Resolved,6.0,3.7,April,Q2,16
CMP00664,2024-02-02,,South-West Zone,Water Supply,Water Supply Dept,High,3,In Progress,,1.9,February,Q1,5
CMP00665,2024-07-31,,North Zone,Street Light Failure,Electricity Dept,Low,1,In Progress,,2.4,July,Q3,31
CMP00666,2024-07-27,,North Zone,Traffic Congestion,Traffic Management Dept,Medium,2,Pending,,2.4,July,Q3,30
CMP00667,2024-06-18,,West Zone,Road Damage,Public Works Dept,High,3,Pending,,2.4,June,Q2,25
CMP00668,2024-10-04,2024-10-07,West Zone,Road Damage,Public Works Dept,High,3,Resolved,3.0,4.8,October,Q4,40
CMP00669,2024-08-26,2024-09-07,South Zone,Public Safety,Police Dept,Medium,2,Resolved,12.0,2.6,August,Q3,35
CMP00670,2024-07-31,,North Zone,Street Light Failure,Electricity Dept,Medium,2,Pending,,1.1,July,Q3,31
CMP00671,2024-02-01,,North-East Zone,Drainage Problem,Drainage Dept,Low,1,Pending,,1.5,February,Q1,5
CMP00672,2024-04-15,2024-04-20,Central Zone,Drainage Problem,Drainage Dept,Medium,2,Resolved,5.0,3.1,April,Q2,16
CMP00673,2024-08-03,,West Zone,Drainage Problem,Drainage Dept,Medium,2,In Progress,,1.9,August,Q3,31
CMP00674,2024-07-18,,Industrial Zone,Road Damage,Public Works Dept,High,3,In Progress,,2.1,July,Q3,29
CMP00675,2024-10-26,2024-11-01,North Zone,Water Supply,Water Supply Dept,High,3,Resolved,6.0,4.2,October,Q4,43
CMP00676,2024-12-22,,East Zone,Road Damage,Public Works Dept,Medium,2,Pending,,1.2,December,Q4,51
CMP00677,2024-01-11,,North Zone,Garbage Collection,Sanitation Dept,Medium,2,Pending,,1.8,January,Q1,2
